name,artist,album,acousticness,danceability,energy,speechiness,valence
Flames,David Guetta,7,0.0817,0.631,0.649,0.0385,0.421
What Lovers Do,Maroon 5,Red Pill Blues (Deluxe),0.0788,0.799,0.597,0.0611,0.419
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.153,0.841,0.798,0.229,0.591
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.0337,0.663,0.708,0.0473,0.742
Feel It Still,Portugal. The Man,Woodstock,0.0417,0.801,0.795,0.0504,0.754
Pray For Me (with Kendrick Lamar),The Weeknd,Black Panther The Album Music From And Inspired By,0.0762,0.735,0.677,0.093,0.188
Walk It Talk It,Migos,Culture II,0.0739,0.909,0.628,0.201,0.406
Him & I (with Halsey),G-Eazy,The Beautiful & Damned,0.0534,0.589,0.731,0.0868,0.191
Candy Paint,Post Malone,beerbongs & bentleys,0.627,0.67,0.654,0.153,0.438
Congratulations,Post Malone,Stoney (Deluxe),0.215,0.63,0.804,0.0363,0.492
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",0.165,0.792,0.895,0.0589,0.794
Criminal,Natti Natasha,Criminal,0.03,0.814,0.813,0.0561,0.839
Plug Walk,Rich The Kid,The World Is Yours,0.202,0.876,0.519,0.143,0.158
lovely (with Khalid),Billie Eilish,lovely (with Khalid),0.934,0.351,0.296,0.0333,0.12
Stir Fry,Migos,Culture II,0.00299,0.815,0.816,0.269,0.498
HUMBLE.,Kendrick Lamar,DAMN.,0.000282,0.908,0.621,0.102,0.421
Vaina Loca,Ozuna,Aura,0.315,0.754,0.805,0.0752,0.555
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),0.779,0.587,0.299,0.0263,0.356
Corazón (feat. Nego do Borel),Maluma,F.A.M.E.,0.328,0.722,0.738,0.247,0.748
Young Dumb & Broke,Khalid,American Teen,0.199,0.798,0.539,0.0421,0.394
Síguelo Bailando,Ozuna,Odisea,0.165,0.855,0.664,0.0607,0.626
Downtown,Anitta,Downtown,0.18,0.775,0.679,0.135,0.619
Bella,Wolfine,Bella,0.128,0.909,0.493,0.0735,0.844
Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),0.0119,0.781,0.768,0.0394,0.486
Yes Indeed,Lil Baby,Harder Than Ever,0.035,0.964,0.346,0.53,0.562
I Like Me Better,Lauv,I met you when I was 18. (the playlist),0.535,0.752,0.505,0.253,0.419
This Is Me,Keala Settle,This Is Me,0.00583,0.284,0.704,0.186,0.1
Everybody Dies In Their Nightmares,XXXTENTACION,17,0.847,0.734,0.57,0.133,0.689
Rewrite The Stars,Zac Efron,Rewrite The Stars,0.0716,0.684,0.619,0.0386,0.284
I Miss You (feat. Julia Michaels),Clean Bandit,I Miss You (feat. Julia Michaels),0.245,0.638,0.658,0.0456,0.33
No Brainer,DJ Khaled,No Brainer,0.0733,0.552,0.76,0.342,0.639
Dusk Till Dawn - Radio Edit,ZAYN,Dusk Till Dawn (Radio Edit),0.101,0.258,0.437,0.039,0.0967
Be Alright,Dean Lewis,Be Alright,0.697,0.553,0.586,0.0362,0.443
